path	main	r5	r6	cur	cur_fail_rules	chance_rate	checked	exact	rounding	unsupported	identifiers	r6_flagged	r6_flag_causes	synthesis	synthesis_note
research/findings/2026-09-01-184-tieredfactstore-ltm-trace-propagation-fix.md	PASS	PASS	PASS	PASS		0.0000	1	1	0	0	0	0		False	
research/findings/2026-09-01-D6-wm-emergent-free-slot-competitive-register-allocation-6seed-GO.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-affect-marker-spiking-wta-default-on-flip-GO.md	PASS	PASS	PASS	PASS		0.0025	3	3	0	0	0	0		False	
research/findings/2026-09-01-batch-sentence-rendering-6seed-not-byte-identical-NOGO.md	PASS	PASS	FAIL	PASS		0.0375	12	0	12	0	0	4	rounding:4	False	
research/findings/2026-09-01-batch-sentence-rendering-rich-chat-2x-to-3x-byte-identical.md	PASS	PASS	FAIL	PASS		0.0225	6	0	6	0	0	3	rounding:3	False	
research/findings/2026-09-01-board91-memory-separator-readfix-cuerelative-bias-NOGO-intrinsic-heterogeneity-confirmed-write-read-mismatch.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-board91-memory-separator-readfix-popstate-reset-NOGO-relocalizes-to-consolidation-induced-generic-capture.md	PASS	FAIL	FAIL	PASS		0.0500	2	0	2	0	0	2	rounding:2	False	
research/findings/2026-09-01-brain-native-plausibility-spiking-synaptic-gate-qualified.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-common-ground-audience-design-drive-soak-GO.md	PASS	PASS	PASS	PASS		0.0425	11	11	0	0	0	0		False	
research/findings/2026-09-01-confidence-forthcomingness-default-on-flip-GO.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-confidence-forthcomingness-kb-relation-realtraffic-tracepropagation-residual.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-confidence-forthcomingness-ltm-elaboration-load-bearing-GO.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-confidence-metacog-margin-norm-calibration-at-scale-discriminates-not-byte-id-off.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-declarative-cross-edge-functional-gate-read-credit-livedrive-GO.md	PASS	FAIL	FAIL	PASS		0.0300	28	19	9	0	0	11	exempt:1;not-a-number:1;rounding:9	False	
research/findings/2026-09-01-entity-aliasing-verified-against-shipped-scale-alias-bundle.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-generative-cortex-token-supply-lever-broad-domain-plateau-is-starvation-not-capacity-wall.md	PASS	FAIL	FAIL	FAIL	unsupported(5)	0.0900	53	5	43	5	8	24	rounding:19;still-unsupported:5	False	
research/findings/2026-09-01-negation-generate-wiring-stale-claim-closed-plus-hebbian-plausibility-qualified.md	PASS	PASS	PASS	PASS		0.0000	6	6	0	0	0	0		False	
research/findings/2026-09-01-nl-parser-kb-relation-question-routing-comprehension-GO.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-np-entailment-copula-coverage-widening.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-np-entailment-moat-gate-wired-into-live-open-ended-postfilter.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-np-entailment-participial-pronoun-coverage-widening.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-onebrain-crossedge-curiosity-d6wm-semantic-drop-GO.md	PASS	PASS	PASS	PASS		0.0100	8	2	6	0	0	0		False	
research/findings/2026-09-01-onebrain-crossedge-curiosity-to-d6wm-GO.md	PASS	FAIL	FAIL	FAIL	unsupported(3)	0.0025	42	24	15	3	1	3	still-unsupported:3	False	
research/findings/2026-09-01-onebrain-crossedge-curiosity-to-d6wm-production-wire-GO.md	PASS	PASS	PASS	PASS		0.0025	28	14	14	0	0	0		False	
research/findings/2026-09-01-onebrain-crossedge-provenance-to-selfschema-reciprocal-GO.md	PASS	FAIL	FAIL	FAIL	unsupported(6)	0.0100	51	19	26	6	0	11	rounding:5;still-unsupported:6	False	
research/findings/2026-09-01-onebrain-merge-pool1-composer-cleanup-regions-declarative-GO.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-open-ended-bundle-moat-safety-soak-fabrication-delta.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-plausibility-ensemble-read-host-parity-generation-all6-default-on-GO.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-production-default-flip-plan.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-read-fidelity-learned-whitened-opponent-read-NOGO-residual-is-read-architecture-not-estimator.md	PASS	FAIL	FAIL	PASS		0.1675	34	3	31	0	0	25	rounding:25	False	
research/findings/2026-09-01-read-fidelity-separate-trace-recall-read-GO-upstream-shaping-closes-read-power-residual.md	PASS	FAIL	FAIL	PASS		0.0325	26	13	13	0	0	7	rounding:7	False	
research/findings/2026-09-01-seed44-recall-hole-ROOT-CAUSED-phase-quantization-decode-escalation-fix.md	PASS	PASS	PASS	PASS		0.0150	17	17	0	0	0	0		False	
research/findings/2026-09-01-source-provenance-honesty-129-default-on-flip-GO.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-surprise-episodic-encode-decision-crossedge-GO.md	PASS	FAIL	FAIL	PASS		0.0075	41	35	6	0	2	6	rounding:6	False	
research/findings/2026-09-01-vision-lindiscrim-opsweep-board135-znorm-dominates-small-nonoverfit-lift-not-capability-crossing.md	PASS	PASS	PASS	PASS		0.0125	32	32	0	0	0	0		False	
research/findings/2026-09-01-vision-readout-side-exhausted-satdiv-plus-ridge-plateau-points-to-S2-template-learning.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-vision-s2-bcm-template-learning-NOGO-collapses-without-competition-underperforms-baseline-with-it.md	PASS	PASS	PASS	PASS		0.0350	23	23	0	0	0	0		False	
research/findings/2026-09-01-w5-affective-tom-other-model-graded-circumplex-upgrade-GO.md	PASS	PASS	PASS	PASS		0.0175	11	11	0	0	0	0		False	
research/findings/2026-09-01-wkv-fact-to-sentence-lexicon-and-np-lever.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-wkv-fact-to-svo-clause-first-lever-investigation.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-wkv-mouth-fact-grounding-lever.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-wkv-mouth-fact-sentence-wirein.md	PASS	PASS	PASS	PASS		0.0050	3	3	0	0	0	0		False	
research/findings/2026-09-01-wkv-mouth-invocab-scope-leadin-loophole-fix.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-01-wkv-mouth-learned-head-6seed-ab-through-fixed-default-path-GO.md	PASS	PASS	PASS	PASS		0.0850	47	24	23	0	0	0		False	
research/findings/2026-09-02-c1-surprise-worldmodel-wired-flip-ready.md	FAIL	FAIL	FAIL	FAIL	unsupported(1)	0.0075	5	2	2	1	0	2	rounding:1;still-unsupported:1	False	
research/findings/2026-09-02-c2-metacog-error-gated-port-second-negative.md	PASS	FAIL	FAIL	FAIL	unsupported(2)	0.0575	14	0	12	2	0	12	rounding:10;still-unsupported:2	False	
research/findings/2026-09-02-c2-metacog-read-isolation-fix-GO.md	PASS	FAIL	FAIL	FAIL	unsupported(8)	0.0700	22	0	14	8	0	20	rounding:12;still-unsupported:8	False	
research/findings/2026-09-02-confidence-forthcoming-100k-recalibration-PARTIAL.md	PASS	FAIL	FAIL	FAIL	unsupported(1)	0.0375	28	2	25	1	2	16	identifier:2;rounding:13;still-unsupported:1	False	
research/findings/2026-09-02-confidence-forthcomingness-100k-6seed-GO.md	PASS	PASS	PASS	PASS		0.0000	1	0	1	0	0	0		False	
research/findings/2026-09-02-crossedge-arousal-surprise-derisk-PARTIAL-smoke-go.md	PASS	FAIL	FAIL	PASS		0.0075	4	2	2	0	0	2	rounding:2	False	
research/findings/2026-09-02-crossedge-surprise-metacog-derisk-SMOKE-GO-PARTIAL.md	PASS	FAIL	FAIL	FAIL	unsupported(4)	0.0100	19	1	14	4	0	15	rounding:11;still-unsupported:4	False	
research/findings/2026-09-02-crossedge-surprise-worldmodel-derisk-SMOKE-GO-partial-pending-6seed.md	PASS	FAIL	FAIL	PASS		0.0050	8	0	8	0	0	8	rounding:8	False	
research/findings/2026-09-02-cupy-scan-vectorize-byteidentical-fix-queued-for-cupy-latency-reverify.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-02-cupy-scan-vectorize-latency-result-ACCEPT.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-02-escalation-gating-tighten-latency-correctness-safe-not-the-lever.md	PASS	FAIL	FAIL	FAIL	unsupported(4)	0.0050	17	13	0	4	0	4	still-unsupported:4	False	
research/findings/2026-09-02-generative-cortex-capacity-vs-tokens-larger-capacity-wins-d96-nears-its-ceiling.md	PASS	FAIL	FAIL	FAIL	unsupported(22)	0.0750	78	54	2	22	3	23	rounding:2;still-unsupported:21	False	
research/findings/2026-09-02-integrated-brain-scale-probe-BUILT-scoping.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-02-integration-program-6seed-harvest-singlepool-GO-C1-GO-C2-NOGO.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-02-memory-separator-continuous-ring-screen-parameter-map.md	PASS	FAIL	FAIL	FAIL	unsupported(1)	0.0050	4	0	3	1	0	4	rounding:3;still-unsupported:1	False	
research/findings/2026-09-02-onebrain-crossedge-curiosity-d6wm-semantic-drop-read-isolation-reverify-GO-survives.md	PASS	FAIL	FAIL	FAIL	unsupported(6)	0.0025	13	1	6	6	0	6	still-unsupported:6	False	
research/findings/2026-09-02-onebrain-crossedge-curiosity-to-d6wm-read-isolation-fix-corrects-GO-to-NOGO-3-6.md	PASS	PASS	FAIL	FAIL	unsupported(4)	0.0025	45	19	22	4	0	4	still-unsupported:4	False	
research/findings/2026-09-02-onebrain-crossedge-provenance-to-selfschema-read-isolation-fix-GO-survives-narrower-margin.md	PASS	FAIL	FAIL	FAIL	unsupported(13)	0.0025	44	17	14	13	0	14	rounding:1;still-unsupported:13	False	
research/findings/2026-09-02-onebrain-crossregion-integration-DESIGN-ranked-crossedges.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-02-onebrain-flip-verify-harness-and-regression-battery-BUILT-derisk-GO.md	PASS	PASS	FAIL	PASS			0	0	0	0	1	1	identifier:1	False	declares `claim_check: synthesis` but no non-empty `claim_check_reason:` in the SAME frontmatter block -- falling back to the normal rules (the escape needs a STATED reason)
research/findings/2026-09-02-onebrain-r4-selfschema-production-wirein-read-isolation-reverify-GO-survives-floor-residual-worsens.md	PASS	PASS	PASS	PASS		0.0025	8	5	3	0	0	0		False	
research/findings/2026-09-02-onebrain-r4-selfschema-provenance-read-isolation-fix-flips-GO-to-NOGO.md	PASS	FAIL	FAIL	FAIL	unsupported(1)	0.0325	41	11	28	1	0	11	rounding:10;still-unsupported:1	False	
research/findings/2026-09-02-onebrain-surprise-episodic-crossedge-readisolation-fix-still-UNDEFINED.md	PASS	FAIL	FAIL	FAIL	unsupported(12)	0.0175	57	15	30	12	0	15	rounding:3;still-unsupported:12	False	
research/findings/2026-09-02-onebrain-twopool-merge-organ-read-GO.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-09-02-onebrain-wave1-comprehension-provenance-merge-SMOKE-GO.md	PASS	FAIL	FAIL	FAIL	unsupported(1)	0.0000	1	0	0	1	0	1	still-unsupported:1	False	
