# claim_check retro-scan, 2026-09-25: MAIN's tools/claim_check.py (7e2edc08e, standalone <!--derived--> runs to the next '## ' heading)
# vs ROUND 4's parser-based tools/claim_check.py (branch research/claimcheck-parser-scope @ 214e509bf).
# Run inside the round-4 worktree, so both checkers resolve the SAME artifacts (research/findings/raw files that are
# untracked in the primary checkout are absent here for BOTH; a 'missing artifact' reason is shared, not new).
# Populations: (a) research/findings/*.md ADDED on main since 2026-09-01 (git log --since=2026-09-01 --diff-filter=A):
# 353 paths, 351 on disk; (b) the whole corpus, research/findings/*.md: 2970 docs.
#
# COUNTS                              (a) since 2026-09-01   (b) whole corpus
#   main-pass / new-pass                      286                 1462
#   main-pass / new-FAIL                       34                  168
#   main-FAIL / new-pass                        0                    0
#   main-FAIL / new-FAIL                       31                 1340
#     of which round 4 flags MORE numbers         6                   21   (docs where round 4 flags FEWER: 0)
# main-pass/new-fail reasons (a): {'unsupported number': 33, 'unsupported number + low coverage': 1}
# main-pass/new-fail reasons (b): {'unsupported number': 152, 'unsupported number + low coverage': 1, 'low coverage': 15}
#
# WHY each flagged line moved (column scope_change; flagged LINES, whole corpus): the marker's scope used to run to the
# next '## ' heading and now covers only its next paragraph/list/table, so a number in a LATER block of the same
# section is checked ('later block in the same section'); a marker directly before a heading, a fence or a non-comment
# html block now covers nothing; a lazy continuation line after a list item is checked; a marker inside a fence is text.
# Classification is descriptive (scratch script, same parser), not part of the checker.
#
# A FLAG IS NOT PROOF OF AN ERROR. 'unsupported number' means the number does not appear in any cited artifact within
# tolerance and is no longer inside a derived scope. Many flagged numbers are legitimate re-quotes, rounded means or
# differences whose author relied on the old section-wide scope and would now mark them inline or with a range; some
# may be genuine errors. This scan did not read them. The board (GAP_CLOSURE_MISSION.md, 02:55 claim-check entry)
# records audit branches research/claimcheck-audit-1..4 with 8 corrections from a manual pass over ROUND 2's flags;
# those edits are not merged and not reflected here. 'low coverage' = >= 40 numeric claims with < 5% checked.
# claim_check runs only on newly ADDED findings at commit, so none of these legacy docs blocks anything.
#
# Columns: doc | population | direction | new_reasons | main_reasons | new_unsupported_n | new_unsupported (line=value,
# first 6) | new_checked/total | new_suppressed_by_mechanism | scope_change (flagged lines by cause)
doc	population	direction	new_reasons	main_reasons	new_unsupported_n	new_unsupported	new_checked_total	new_suppressed	scope_change
research/findings/2026-09-01-board91-memory-separator-readfix-popstate-reset-NOGO-relocalizes-to-consolidation-induced-generic-capture.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	2	L90=0.437, L90=0.9	2/2	section=0 range=0 block=0 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-09-01-declarative-cross-edge-functional-gate-read-credit-livedrive-GO.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	2	L128=0.0067, L129=0.0067	7/31	section=0 range=0 block=24 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-09-01-generative-cortex-token-supply-lever-broad-domain-plateau-is-starvation-not-capacity-wall.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	4	L123=0.24, L123=0.252, L125=0.791, L125=0.296	4/65	section=0 range=0 block=49 inline=12 synthesis=0	later block in the same section (main ran to the next '## ') x2
research/findings/2026-09-01-onebrain-crossedge-provenance-to-selfschema-reciprocal-GO.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	7	L149=0.004, L149=0.008, L150=0.005, L151=-0.018, L154=0.0016, L155=0.021, +1 more	46/55	section=0 range=0 block=5 inline=4 synthesis=0	later block in the same section (main ran to the next '## ') x5
research/findings/2026-09-01-read-fidelity-learned-whitened-opponent-read-NOGO-residual-is-read-architecture-not-estimator.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	24	L114=0.121, L114=1.007, L114=0.567, L114=0.692, L114=0.518, L114=0.676, +18 more	32/34	section=0 range=0 block=2 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x5
research/findings/2026-09-01-read-fidelity-separate-trace-recall-read-GO-upstream-shaping-closes-read-power-residual.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	1	L115=0.832	2/26	section=0 range=0 block=24 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-09-02-c2-metacog-error-gated-port-second-negative.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	2	L69=0.0097, L69=0.0423	2/14	section=0 range=0 block=12 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x1
research/findings/2026-09-02-confidence-forthcoming-100k-recalibration-PARTIAL.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	14	L66=0.062, L66=0.144, L66=0.497, L67=0.062, L67=0.144, L67=0.395, +8 more	27/35	section=0 range=0 block=2 inline=6 synthesis=0	later block in the same section (main ran to the next '## ') x6
research/findings/2026-09-02-crossedge-surprise-metacog-derisk-SMOKE-GO-PARTIAL.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	15	L76=0.678, L76=0.1032, L76=-0.0088, L76=-0.112, L77=0.615, L77=-0.0092, +9 more	19/19	section=0 range=0 block=0 inline=0 synthesis=0	later block in the same section (main ran to the next '## ') x6
research/findings/2026-09-02-generative-cortex-capacity-vs-tokens-larger-capacity-wins-d96-nears-its-ceiling.md	since_2026-09-01	main-pass/new-fail	unsupported number	-	23	L140=3.9516, L140=3.8802, L140=3.8433, L140=3.8178, L140=3.8029, L141=0.2623, +17 more	77/92	section=0 range=0 block=1 inline=14 synthesis=0	later block in the same section (main ran to the next '## ') x11
