path	main	r5	r6	r7	r8a	r8	r8_fail_rules	r8_failing_numbers	r8_causes	r8_matched_only	total	checked	exempt	chance_p50	chance_max	synthesis	detail
research/findings/2026-09-01-184-tieredfactstore-ltm-trace-propagation-fix.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	1	1	0	0.000	0.000	False	
research/findings/2026-09-01-D6-wm-emergent-free-slot-competitive-register-allocation-6seed-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-affect-marker-spiking-wta-default-on-flip-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	3	3	0	0.000	0.014	False	
research/findings/2026-09-01-batch-sentence-rendering-6seed-not-byte-identical-NOGO.md	PASS	PASS	FAIL	PASS	PASS	FAIL	too_broad(3)	3	too-broad=3	True	14	12	2	0.035	0.048	False	47:1.484:too-broad:0.05 49:1.390:too-broad:0.05 50:1.316:too-broad:0.05
research/findings/2026-09-01-batch-sentence-rendering-rich-chat-2x-to-3x-byte-identical.md	PASS	PASS	FAIL	PASS	PASS	PASS		0		False	6	6	0	0.027	0.031	False	
research/findings/2026-09-01-board91-memory-separator-readfix-cuerelative-bias-NOGO-intrinsic-heterogeneity-confirmed-write-read-mismatch.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-board91-memory-separator-readfix-popstate-reset-NOGO-relocalizes-to-consolidation-induced-generic-capture.md	PASS	FAIL	FAIL	PASS	PASS	PASS		0		False	2	2	0	0.032	0.032	False	
research/findings/2026-09-01-brain-native-plausibility-spiking-synaptic-gate-qualified.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-common-ground-audience-design-drive-soak-GO.md	PASS	PASS	PASS	PASS	PASS	FAIL	too_broad(4)	4	too-broad=4	True	11	11	0	0.040	0.047	False	13:0.000:too-broad:0.05 76:0.000:too-broad:0.05 98:0.000:too-broad:0.05 136:0.000:too-broad:0.05
research/findings/2026-09-01-confidence-forthcomingness-default-on-flip-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-confidence-forthcomingness-kb-relation-realtraffic-tracepropagation-residual.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-confidence-forthcomingness-ltm-elaboration-load-bearing-GO.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
research/findings/2026-09-01-confidence-metacog-margin-norm-calibration-at-scale-discriminates-not-byte-id-off.md	PASS	PASS	PASS	PASS	PASS	PASS		0		False	0	0	0			False	
