q=hard expected=cut encoded_at_pos=171
q=true expected=drink encoded_at_pos=142
q=window expected=catch encoded_at_pos=77
q=warm expected=laugh encoded_at_pos=170
q=house expected=red encoded_at_pos=27
q=mother expected=green encoded_at_pos=35
q=mouth expected=cry encoded_at_pos=68
q=ear expected=small encoded_at_pos=30
q=arm expected=dark encoded_at_pos=28
q=new expected=walk encoded_at_pos=191
q=ball expected=kind encoded_at_pos=40
q=father expected=crawl encoded_at_pos=70
q=branch expected=send encoded_at_pos=73
q=cold expected=drop encoded_at_pos=155
q=leg expected=true encoded_at_pos=54
q=sour expected=hear encoded_at_pos=184
q=child expected=stop encoded_at_pos=88
q=pig expected=new encoded_at_pos=53
q=nice expected=smell encoded_at_pos=176
q=sweet expected=hold encoded_at_pos=163
