epoch	wave	job_line	out	add_rc
1790292995	1	1	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/one-brain-substrate/lb.json	0
1790293073	1	2	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/comprehension-monitor/lb.json	0
1790293083	1	3	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/comprehension-learned-animacy-cue/lb.json	0
1790293096	1	4	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/comprehension-learned-verb-selects/lb.json	0
1790293112	1	5	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/noncontradiction-gate/lb.json	0
1790293126	1	6	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/affect-coloring/lb.json	0
1790293141	1	7	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/affect-drives-response/lb.json	0
1790293155	1	8	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/affect-marker-spiking-wta/lb.json	0
1790293169	1	9	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/da-mode-drives-response/lb.json	0
1790293187	1	10	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/da-gated-encoding/lb.json	0
1790293197	1	11	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/source-provenance-honesty/lb.json	0
1790293207	1	12	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/common-ground-drives/lb.json	0
1790293217	1	13	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/swap-drives-response/lb.json	0
1790293227	1	14	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/wm-binding-advanced/lb.json	0
1790293237	1	15	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/prospective-memory/lb.json	0
1790293249	1	16	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/pragmatic-implicature/lb.json	0
1790293259	1	17	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/surprise-monitor/lb.json	0
1790293269	1	18	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/metacog-monitor/lb.json	0
1790293279	1	19	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/worldmodel-forward/lb.json	0
1790293289	1	20	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/curiosity-followup/lb.json	0
1790293299	1	21	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/reconsolidation/lb.json	0
1790293311	1	22	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/episodic-memory/lb.json	0
1790293321	1	23	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/discourse-register/lb.json	0
1790293331	1	24	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/gnw-multistep-deliberation/lb.json	0
1790293341	1	25	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/self-initiated-utterance/lb.json	0
1790293351	1	26	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/vision-identity-spiking-hmax/lb.json	0
1790293365	1	27	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/bg-action-selection/lb.json	0
1790293382	1	28	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/open-ended-generation/lb.json	0
1790293396	1	29	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/gnw-deliberation/lb.json	0
1790293411	1	30	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/value-driven-choice/lb.json	0
1790293427	1	31	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/confidence-forthcomingness/lb.json	0
1790293444	1	32	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/d5-consolidate/lb.json	0
1790293459	1	33	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/sleep-replay/lb.json	0
1790293467	1	34	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/affective-tom/lb.json	0
1790293477	1	35	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/causal-whatif/lb.json	0
1790293487	1	36	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/spiking-anaphor/lb.json	0
1790293496	1	37	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/gnw-bus/lb.json	0
1790293508	1	38	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/multiref-competition/lb.json	0
1790293518	1	39	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/affect-appraisal-interoceptive/lb.json	0
1790293527	1	40	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/spiking-qroute/lb.json	0
1790293537	1	41	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/learned-referent/lb.json	0
1790293548	1	42	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/onebrain-xedge/lb.json	0
1790293556	1	43	research/findings/raw/_load_bearing/_shards/b2b0924-base/s42/surprise-salience-snc-afferent/lb.json	0
1790293566	1	44	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/one-brain-substrate/lb.json	0
1790293578	1	45	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/comprehension-monitor/lb.json	0
1790293588	1	46	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/comprehension-learned-animacy-cue/lb.json	0
1790293597	1	47	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/comprehension-learned-verb-selects/lb.json	0
1790293607	1	48	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/noncontradiction-gate/lb.json	0
1790293614	1	49	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/affect-coloring/lb.json	0
1790293624	1	50	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/affect-drives-response/lb.json	0
1790293634	1	51	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/affect-marker-spiking-wta/lb.json	0
1790293647	1	52	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/da-mode-drives-response/lb.json	0
1790293657	1	53	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/da-gated-encoding/lb.json	0
1790293671	1	54	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/source-provenance-honesty/lb.json	0
1790293687	1	55	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/common-ground-drives/lb.json	0
1790293702	1	56	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/swap-drives-response/lb.json	0
1790293719	1	57	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/wm-binding-advanced/lb.json	0
1790293735	1	58	research/findings/raw/_load_bearing/_shards/b2b0924-base/s43/prospective-memory/lb.json	0
