path	main	r5	r6	cur	cur_fail_rules	chance_rate	checked	exact	rounding	unsupported	identifiers	r6_flagged	r6_flag_causes	synthesis	synthesis_note
research/findings/2026-04-20-g1.md	FAIL	FAIL	FAIL	FAIL	unsupported(8)	0.0050	18	10	0	8	0	8	still-unsupported:8	False	
research/findings/2026-04-20-g2.md	FAIL	FAIL	FAIL	FAIL	unsupported(4)	0.0150	26	11	11	4	0	11	rounding:7;still-unsupported:4	False	
research/findings/2026-04-20-g3.md	PASS	PASS	PASS	PASS		0.0050	17	9	8	0	0	0		False	
research/findings/2026-04-20-g5.md	FAIL	FAIL	FAIL	FAIL	unsupported(3)	0.0000	3	0	0	3	0	3	still-unsupported:3	False	
research/findings/2026-04-20-g5v2.md	FAIL	FAIL	FAIL	FAIL	unsupported(2)	0.0075	2	0	0	2	0	2	still-unsupported:2	False	
research/findings/2026-04-21-g5v3.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-21-g6.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-21-g7.md	FAIL	FAIL	FAIL	FAIL	unsupported(1)	0.0000	1	0	0	1	0	1	still-unsupported:1	False	
research/findings/2026-04-21-signed-eligibility-branch.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-24-g8.md	FAIL	FAIL	FAIL	FAIL	missing(1)		0	0	0	0	0	0		False	
research/findings/2026-04-24-g9.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-24-rng-drift.md	FAIL	FAIL	FAIL	FAIL	missing(1);unsupported(49)	0.0000	49	0	0	49	0	49	still-unsupported:49	False	
research/findings/2026-04-24-route-b-profile.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-24-session-c.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-24-session-d-part-a.md	FAIL	FAIL	FAIL	FAIL	unsupported(5)	0.0000	5	0	0	5	0	5	still-unsupported:5	False	
research/findings/2026-04-24-session-d-part-c.md	FAIL	FAIL	FAIL	FAIL	unsupported(5)	0.1625	6	0	1	5	0	6	rounding:1;still-unsupported:5	False	
research/findings/2026-04-24-session-e1-neuromodulator-subsystem.md	FAIL	FAIL	FAIL	FAIL	unsupported(13)	0.0000	13	0	0	13	0	13	still-unsupported:13	False	
research/findings/2026-04-25-hh-preset-audit.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-25-hh-presets-after-q10-fix.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-25-hh-temperature-bug.md	FAIL	FAIL	FAIL	FAIL	unsupported(2)	0.0000	2	0	0	2	0	2	still-unsupported:2	False	
research/findings/2026-04-25-izh-preset-audit.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-25-pfc-bistability-negative.md	FAIL	FAIL	FAIL	FAIL	unsupported(1)	0.0000	1	0	0	1	0	1	still-unsupported:1	False	
research/findings/2026-04-25-phase-b-acid-test-real-win.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-25-phase-b-bg-acid-test.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-25-phase-b-cascade-stability-fix.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-25-phase-b-honest-correction.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-25-rng-drift-from-izh-presets.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-25-session-g-motor-exploration.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-adaptive-da-targeting.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-asymmetric-adaptive-da.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-cortex-wta-adapda-combo.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-cortex-wta.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-curriculum-fail.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-da-gated-wta.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-hippocampus-additive-fail.md	FAIL	FAIL	FAIL	FAIL	unsupported(1)	0.0050	1	0	0	1	0	1	still-unsupported:1	False	
research/findings/2026-04-26-informed-init-perception-fail.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-learned-perception-cold-start-fail.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-multi-goal-stress-test.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-night-summary.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-pavlovian-demo.md	PASS	PASS	PASS	PASS		0.0350	2	0	2	0	0	0		False	
research/findings/2026-04-26-per-action-da-mixed.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-six-seed-correction.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-surprise-lr-boost.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-26-wta-lateral-inhibition-mixed.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-27-16x16-scaling.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-27-FULL-PERCEPTION-ARC-COMPLETE.md	FAIL	FAIL	FAIL	FAIL	unsupported(10)	0.0000	10	0	0	10	0	10	still-unsupported:10	False	
research/findings/2026-04-27-NEW-BEST-4cheats-closed.md	FAIL	FAIL	FAIL	FAIL	unsupported(6)	0.0000	6	0	0	6	0	6	still-unsupported:6	False	
research/findings/2026-04-27-final-session-summary.md	FAIL	FAIL	FAIL	FAIL	unsupported(4)	0.0000	4	0	0	4	0	4	still-unsupported:4	False	
research/findings/2026-04-27-overnight-summary.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-27-perception-additive.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-27-perception-cheats-investigation.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-27-pfc-stage2-delayed-response.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-27-pfc-working-memory.md	FAIL	FAIL	FAIL	FAIL	unsupported(3)	0.0000	3	0	0	3	0	3	still-unsupported:3	False	
research/findings/2026-04-27-plastic-input-layer-RESOLVED.md	FAIL	FAIL	FAIL	FAIL	unsupported(2)	0.0000	2	0	0	2	0	2	still-unsupported:2	False	
research/findings/2026-04-27-session2-summary.md	FAIL	FAIL	FAIL	FAIL	unsupported(4)	0.0000	4	0	0	4	0	4	still-unsupported:4	False	
research/findings/2026-04-27-sleep-replay-infrastructure.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-27-stage1-beacon-perception.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-27-stage3-full-perception-BREAKTHROUGH.md	FAIL	FAIL	FAIL	FAIL	unsupported(5)	0.0000	5	0	0	5	0	5	still-unsupported:5	False	
research/findings/2026-04-27-task-adaptive-curriculum.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-28-cheat5-post-v4-reframe.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-28-cheat5-v1-NEGATIVE.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-28-cheat5-v2-NEGATIVE.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-28-cheat5-v3-results.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-28-cheat5-v4-results.md	FAIL	FAIL	FAIL	FAIL	unsupported(8)	0.0000	8	0	0	8	0	8	still-unsupported:8	False	
research/findings/2026-04-28-cluster-b1-d1d2-asymmetry-results.md	PASS	PASS	PASS	PASS		0.0000	7	0	7	0	0	0		False	
research/findings/2026-04-28-cluster-b2-striatal-fsis-results.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-28-cluster-b3-tans-results.md	FAIL	FAIL	FAIL	FAIL	unsupported(1)	0.0525	17	10	6	1	0	4	rounding:3;still-unsupported:1	False	
research/findings/2026-04-28-flagship-4.08-data-correction.md	FAIL	FAIL	FAIL	FAIL	unsupported(2)	0.0000	2	0	0	2	0	2	still-unsupported:2	False	
research/findings/2026-04-28-throughput-investigation.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-29-AD-multigoal-NEUTRAL.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-29-ADE-multigoal-NEUTRAL.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-29-b3-retry-tonicDA-NEGATIVE.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-29-cluster-a-closed-bg-loop-results.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-29-cluster-f-results.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-29-overnight-FINAL.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-29-overnight-progress-summary.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-29-step3-AE-sensed-results.md	FAIL	FAIL	FAIL	FAIL	unsupported(1)	0.0000	1	0	0	1	0	1	still-unsupported:1	False	
research/findings/2026-04-29-step4-multigoal-det-results.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-30-cluster-c-v2-results.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-30-cluster-d-v2-results.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-30-cluster-f-v2-results.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-30-cluster-stacking-synthesis.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-30-fv2-correction-replicated-runner-bug.md	FAIL	FAIL	FAIL	FAIL	missing(1)		0	0	0	0	0	0		False	
research/findings/2026-04-30-reverse-replay-null.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-04-30-single-pool-heuristic-breakthrough.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-01-cluster-g-grid-scaling.md	FAIL	FAIL	FAIL	FAIL	unsupported(27)	0.0000	27	0	0	27	0	27	still-unsupported:27	False	
research/findings/2026-05-01-cluster-g-nmda-breakthrough.md	PASS	PASS	PASS	PASS		0.0075	32	6	26	0	0	0		False	
research/findings/2026-05-01-cluster-k-v2-breakthrough.md	FAIL	FAIL	FAIL	FAIL	missing(1);unsupported(52)	0.0000	52	0	0	52	0	52	still-unsupported:52	False	
research/findings/2026-05-01-text-io-300ep-tier1-REGRESSION.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-01-text-io-FINAL-summary.md	FAIL	FAIL	FAIL	FAIL	unsupported(4)	0.0000	4	0	0	4	0	4	still-unsupported:4	False	
research/findings/2026-05-01-text-io-phase3-results.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-01-tier0-no-heuristic-perception-bottleneck.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-02-FINAL-overnight-summary.md	FAIL	FAIL	FAIL	FAIL	unsupported(40)	0.0000	40	0	0	40	0	40	still-unsupported:40	False	
research/findings/2026-05-02-curriculum-NEGATIVE-but-INFORMATIVE.md	FAIL	FAIL	FAIL	FAIL	unsupported(6)	0.0050	10	0	4	6	0	8	rounding:2;still-unsupported:6	False	
research/findings/2026-05-02-drive500-cross-seed-NEGATIVE.md	FAIL	FAIL	FAIL	FAIL	unsupported(2)	0.0000	2	0	0	2	0	2	still-unsupported:2	False	
research/findings/2026-05-02-longer-training-NEGATIVE.md	FAIL	FAIL	FAIL	FAIL	unsupported(1)	0.0275	9	0	8	1	0	9	rounding:8;still-unsupported:1	False	
research/findings/2026-05-02-multi-decoder-NEGATIVE.md	FAIL	FAIL	FAIL	FAIL	unsupported(2)	0.0050	2	0	0	2	0	2	still-unsupported:2	False	
research/findings/2026-05-02-project-status-summary.md	FAIL	FAIL	FAIL	FAIL	unsupported(4)	0.0000	4	0	0	4	0	4	still-unsupported:4	False	
research/findings/2026-05-02-reeval-bridge-state-limitation.md	FAIL	FAIL	FAIL	FAIL	unsupported(2)	0.0000	2	0	0	2	0	2	still-unsupported:2	False	
research/findings/2026-05-02-reward-shaping-NEGATIVE.md	FAIL	FAIL	FAIL	FAIL	unsupported(1)	0.0325	2	0	1	1	0	2	rounding:1;still-unsupported:1	False	
research/findings/2026-05-02-strong-drive-NEGATIVE.md	FAIL	FAIL	FAIL	FAIL	unsupported(2)	0.0225	7	0	5	2	0	7	rounding:5;still-unsupported:2	False	
research/findings/2026-05-02-text-io-100ep-reset-fix-results.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-02-text-io-BREAKTHROUGH-v2.md	FAIL	FAIL	FAIL	FAIL	unsupported(31)	0.0150	55	0	24	31	0	43	rounding:12;still-unsupported:31	False	
research/findings/2026-05-02-text-io-formal-writeup.md	FAIL	FAIL	FAIL	FAIL	unsupported(15)	0.0000	15	0	0	15	0	15	still-unsupported:15	False	
research/findings/2026-05-02-text-io-hebbian-decay-root-cause.md	FAIL	FAIL	FAIL	FAIL	unsupported(2)	0.0150	14	0	12	2	0	5	rounding:3;still-unsupported:2	False	
research/findings/2026-05-02-text-io-hebbian-fix-empirical-result.md	FAIL	FAIL	FAIL	FAIL	unsupported(7)	0.0125	86	9	70	7	0	34	rounding:27;still-unsupported:7	False	
research/findings/2026-05-02-text-io-multi-seed-progress.md	FAIL	FAIL	FAIL	FAIL	unsupported(30)	0.0000	30	0	0	30	0	30	still-unsupported:30	False	
research/findings/2026-05-03-MORNING-BRIEFING.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-03-architecture-fundamentally-cant-align.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-03-dt1ms-speedup-validated.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-03-experiment-queue.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-03-i2w-also-at-chance.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-03-overnight-progress.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-03-permuted-label-control-NEGATIVE.md	FAIL	FAIL	FAIL	FAIL	missing(1)		0	0	0	0	0	0		False	
research/findings/2026-05-03-step-profile-results.md	PASS	PASS	PASS	PASS			0	0	0	0	0	0		False	
research/findings/2026-05-03-swr-buffer-composition-mechanism.md	FAIL	FAIL	FAIL	FAIL	unsupported(1)	0.0000	1	0	0	1	0	1	still-unsupported:1	False	
