path	date	r5_verdict	r6_verdict	flip	r6_fail_reason
research/findings/2026-09-01-184-tieredfactstore-ltm-trace-propagation-fix.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-D6-wm-emergent-free-slot-competitive-register-allocation-6seed-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-affect-marker-spiking-wta-default-on-flip-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-batch-sentence-rendering-6seed-not-byte-identical-NOGO.md	2026-09-01	PASS	FAIL	PASS->FAIL	unsupported(4)
research/findings/2026-09-01-batch-sentence-rendering-rich-chat-2x-to-3x-byte-identical.md	2026-09-01	PASS	FAIL	PASS->FAIL	unsupported(3)
research/findings/2026-09-01-board91-memory-separator-readfix-cuerelative-bias-NOGO-intrinsic-heterogeneity-confirmed-write-read-mismatch.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-board91-memory-separator-readfix-popstate-reset-NOGO-relocalizes-to-consolidation-induced-generic-capture.md	2026-09-01	FAIL	FAIL		unsupported(2)
research/findings/2026-09-01-brain-native-plausibility-spiking-synaptic-gate-qualified.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-common-ground-audience-design-drive-soak-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-confidence-forthcomingness-default-on-flip-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-confidence-forthcomingness-kb-relation-realtraffic-tracepropagation-residual.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-confidence-forthcomingness-ltm-elaboration-load-bearing-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-confidence-metacog-margin-norm-calibration-at-scale-discriminates-not-byte-id-off.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-declarative-cross-edge-functional-gate-read-credit-livedrive-GO.md	2026-09-01	FAIL	FAIL		unsupported(11)
research/findings/2026-09-01-entity-aliasing-verified-against-shipped-scale-alias-bundle.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-generative-cortex-token-supply-lever-broad-domain-plateau-is-starvation-not-capacity-wall.md	2026-09-01	FAIL	FAIL		unsupported(24)
research/findings/2026-09-01-negation-generate-wiring-stale-claim-closed-plus-hebbian-plausibility-qualified.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-nl-parser-kb-relation-question-routing-comprehension-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-np-entailment-copula-coverage-widening.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-np-entailment-moat-gate-wired-into-live-open-ended-postfilter.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-np-entailment-participial-pronoun-coverage-widening.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-onebrain-crossedge-curiosity-d6wm-semantic-drop-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-onebrain-crossedge-curiosity-to-d6wm-GO.md	2026-09-01	FAIL	FAIL		unsupported(3)
research/findings/2026-09-01-onebrain-crossedge-curiosity-to-d6wm-production-wire-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-onebrain-crossedge-provenance-to-selfschema-reciprocal-GO.md	2026-09-01	FAIL	FAIL		unsupported(11)
research/findings/2026-09-01-onebrain-merge-pool1-composer-cleanup-regions-declarative-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-open-ended-bundle-moat-safety-soak-fabrication-delta.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-plausibility-ensemble-read-host-parity-generation-all6-default-on-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-production-default-flip-plan.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-read-fidelity-learned-whitened-opponent-read-NOGO-residual-is-read-architecture-not-estimator.md	2026-09-01	FAIL	FAIL		unsupported(25)
research/findings/2026-09-01-read-fidelity-separate-trace-recall-read-GO-upstream-shaping-closes-read-power-residual.md	2026-09-01	FAIL	FAIL		unsupported(7)
research/findings/2026-09-01-seed44-recall-hole-ROOT-CAUSED-phase-quantization-decode-escalation-fix.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-source-provenance-honesty-129-default-on-flip-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-surprise-episodic-encode-decision-crossedge-GO.md	2026-09-01	FAIL	FAIL		unsupported(6)
research/findings/2026-09-01-vision-lindiscrim-opsweep-board135-znorm-dominates-small-nonoverfit-lift-not-capability-crossing.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-vision-readout-side-exhausted-satdiv-plus-ridge-plateau-points-to-S2-template-learning.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-vision-s2-bcm-template-learning-NOGO-collapses-without-competition-underperforms-baseline-with-it.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-w5-affective-tom-other-model-graded-circumplex-upgrade-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-wkv-fact-to-sentence-lexicon-and-np-lever.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-wkv-fact-to-svo-clause-first-lever-investigation.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-wkv-mouth-fact-grounding-lever.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-wkv-mouth-fact-sentence-wirein.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-wkv-mouth-invocab-scope-leadin-loophole-fix.md	2026-09-01	PASS	PASS		
research/findings/2026-09-01-wkv-mouth-learned-head-6seed-ab-through-fixed-default-path-GO.md	2026-09-01	PASS	PASS		
research/findings/2026-09-02-c1-surprise-worldmodel-wired-flip-ready.md	2026-09-02	FAIL	FAIL		unsupported(2)
research/findings/2026-09-02-c2-metacog-error-gated-port-second-negative.md	2026-09-02	FAIL	FAIL		unsupported(12)
research/findings/2026-09-02-c2-metacog-read-isolation-fix-GO.md	2026-09-02	FAIL	FAIL		unsupported(20)
research/findings/2026-09-02-confidence-forthcoming-100k-recalibration-PARTIAL.md	2026-09-02	FAIL	FAIL		unsupported(16)
research/findings/2026-09-02-confidence-forthcomingness-100k-6seed-GO.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-crossedge-arousal-surprise-derisk-PARTIAL-smoke-go.md	2026-09-02	FAIL	FAIL		unsupported(2)
research/findings/2026-09-02-crossedge-surprise-metacog-derisk-SMOKE-GO-PARTIAL.md	2026-09-02	FAIL	FAIL		unsupported(15)
research/findings/2026-09-02-crossedge-surprise-worldmodel-derisk-SMOKE-GO-partial-pending-6seed.md	2026-09-02	FAIL	FAIL		unsupported(8)
research/findings/2026-09-02-cupy-scan-vectorize-byteidentical-fix-queued-for-cupy-latency-reverify.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-cupy-scan-vectorize-latency-result-ACCEPT.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-escalation-gating-tighten-latency-correctness-safe-not-the-lever.md	2026-09-02	FAIL	FAIL		unsupported(4)
research/findings/2026-09-02-generative-cortex-capacity-vs-tokens-larger-capacity-wins-d96-nears-its-ceiling.md	2026-09-02	FAIL	FAIL		unsupported(23)
research/findings/2026-09-02-integrated-brain-scale-probe-BUILT-scoping.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-integration-program-6seed-harvest-singlepool-GO-C1-GO-C2-NOGO.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-memory-separator-continuous-ring-screen-parameter-map.md	2026-09-02	FAIL	FAIL		unsupported(4)
research/findings/2026-09-02-onebrain-crossedge-curiosity-d6wm-semantic-drop-read-isolation-reverify-GO-survives.md	2026-09-02	FAIL	FAIL		unsupported(6)
research/findings/2026-09-02-onebrain-crossedge-curiosity-to-d6wm-read-isolation-fix-corrects-GO-to-NOGO-3-6.md	2026-09-02	PASS	FAIL	PASS->FAIL	unsupported(4)
research/findings/2026-09-02-onebrain-crossedge-provenance-to-selfschema-read-isolation-fix-GO-survives-narrower-margin.md	2026-09-02	FAIL	FAIL		unsupported(14)
research/findings/2026-09-02-onebrain-crossregion-integration-DESIGN-ranked-crossedges.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-onebrain-flip-verify-harness-and-regression-battery-BUILT-derisk-GO.md	2026-09-02	PASS	FAIL	PASS->FAIL	unsupported(1)
research/findings/2026-09-02-onebrain-r4-selfschema-production-wirein-read-isolation-reverify-GO-survives-floor-residual-worsens.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-onebrain-r4-selfschema-provenance-read-isolation-fix-flips-GO-to-NOGO.md	2026-09-02	FAIL	FAIL		unsupported(11)
research/findings/2026-09-02-onebrain-surprise-episodic-crossedge-readisolation-fix-still-UNDEFINED.md	2026-09-02	FAIL	FAIL		unsupported(15)
research/findings/2026-09-02-onebrain-twopool-merge-organ-read-GO.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-onebrain-wave1-comprehension-provenance-merge-SMOKE-GO.md	2026-09-02	FAIL	FAIL		unsupported(1)
research/findings/2026-09-02-onebrain-wave2-selfschema-curiosity-causalwhatif-merge-SMOKE-GO.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-open-ended-episodic-writeback-R1-rung1.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-open-ended-pipeline-integration-rung2-state-writes-GO.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-open-ended-pipeline-integration-rung3-deeper-folds-GO.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-open-ended-qwen-routed-fact-clause-fallback.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-pmem-wave3-pool-faculty-alive-and-answer-GO.md	2026-09-02	FAIL	FAIL		missing(1)
research/findings/2026-09-02-r3v2-r3v3-read-isolation-refix-r3v3-GO-flips-to-NOGO.md	2026-09-02	FAIL	FAIL		unsupported(23)
research/findings/2026-09-02-read-isolation-audit-29runner-followup-map-plus-a-bigger-adjacent-bug.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-read-isolation-audit-C2-bug-class-across-14-runners.md	2026-09-02	FAIL	FAIL		unsupported(3)
research/findings/2026-09-02-regression-battery-thin-probes-lifted.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-self-taught-mouth-vocab-coverage-for-chat-INSUFFICIENT.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-sim-deterministic-matvec-all-conductance-paths-megakernel-v1-closed-premise-corrected.md	2026-09-02	PASS	PASS		
research/findings/2026-09-02-spiking-expectation-rpe-read-isolation-fix-PARTIAL-demotion-still-boundary.md	2026-09-02	FAIL	FAIL		unsupported(22)
