path	date	synthesis	total_numeric	checked	suppressed_inline	suppressed_synthesis	low_coverage	uses_old_idiom	main_verdict	new_verdict	flips_pass_to_fail	error
research/findings/2026-09-01-184-tieredfactstore-ltm-trace-propagation-fix.md	2026-09-01	False	1	1	0	0	False	True	PASS	PASS	False	
research/findings/2026-09-01-D6-wm-emergent-free-slot-competitive-register-allocation-6seed-GO.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-affect-marker-spiking-wta-default-on-flip-GO.md	2026-09-01	False	3	3	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-batch-sentence-rendering-6seed-not-byte-identical-NOGO.md	2026-09-01	False	14	0	14	0	False	True	PASS	PASS	False	
research/findings/2026-09-01-batch-sentence-rendering-rich-chat-2x-to-3x-byte-identical.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-board91-memory-separator-readfix-cuerelative-bias-NOGO-intrinsic-heterogeneity-confirmed-write-read-mismatch.md	2026-09-01	False	0	0	0	0	False	True	PASS	PASS	False	
research/findings/2026-09-01-board91-memory-separator-readfix-popstate-reset-NOGO-relocalizes-to-consolidation-induced-generic-capture.md	2026-09-01	False	2	2	0	0	False	True	PASS	FAIL	True	
research/findings/2026-09-01-brain-native-plausibility-spiking-synaptic-gate-qualified.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-common-ground-audience-design-drive-soak-GO.md	2026-09-01	False	11	11	0	0	False	True	PASS	PASS	False	
research/findings/2026-09-01-confidence-forthcomingness-default-on-flip-GO.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-confidence-forthcomingness-kb-relation-realtraffic-tracepropagation-residual.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-confidence-forthcomingness-ltm-elaboration-load-bearing-GO.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-confidence-metacog-margin-norm-calibration-at-scale-discriminates-not-byte-id-off.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-declarative-cross-edge-functional-gate-read-credit-livedrive-GO.md	2026-09-01	False	31	31	0	0	False	True	PASS	FAIL	True	
research/findings/2026-09-01-entity-aliasing-verified-against-shipped-scale-alias-bundle.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-generative-cortex-token-supply-lever-broad-domain-plateau-is-starvation-not-capacity-wall.md	2026-09-01	False	65	39	26	0	False	True	PASS	FAIL	True	
research/findings/2026-09-01-negation-generate-wiring-stale-claim-closed-plus-hebbian-plausibility-qualified.md	2026-09-01	False	6	6	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-nl-parser-kb-relation-question-routing-comprehension-GO.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-np-entailment-copula-coverage-widening.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-np-entailment-moat-gate-wired-into-live-open-ended-postfilter.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-np-entailment-participial-pronoun-coverage-widening.md	2026-09-01	False	0	0	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-onebrain-crossedge-curiosity-d6wm-semantic-drop-GO.md	2026-09-01	False	8	8	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-onebrain-crossedge-curiosity-to-d6wm-GO.md	2026-09-01	False	45	41	4	0	False	True	PASS	FAIL	True	
research/findings/2026-09-01-onebrain-crossedge-curiosity-to-d6wm-production-wire-GO.md	2026-09-01	False	28	28	0	0	False	False	PASS	PASS	False	
research/findings/2026-09-01-onebrain-crossedge-provenance-to-selfschema-reciprocal-GO.md	2026-09-01	False	55	51	4	0	False	True	PASS	FAIL	True	
